Price Period,                      TOWNS,Super, Diesel,Kerosene
15th June 2023- 14th July 2023,O'lessos,181.95,167.55,161.77
15th June 2023- 14th July 2023,Kobujoi,182.35,167.95,162.17
15th June 2023- 14th July 2023,Serem,182.42,168.04,162.25
15th June 2023- 14th July 2023,Kabiyet,181.88,167.49,161.71
15th June 2023- 14th July 2023,Cheptulu,182.3,167.92,162.13
15th June 2023- 14th July 2023,Songor,182.85,168.46,162.68
15th June 2023- 14th July 2023,Kapcherop,182.49,168.1,162.31
15th June 2023- 14th July 2023,Sambalat,183.18,168.78,163
15th June 2023- 14th July 2023,Arror,182.82,168.44,162.65
15th June 2023- 14th July 2023,Tot,183.03,168.64,162.85
15th June 2023- 14th July 2023,Kaptarakwa,182.08,167.68,161.9
15th June 2023- 14th July 2023,Kapese,185.03,170.63,164.85
15th June 2023- 14th July 2023,Kalemngorok,184.42,170.02,164.25
15th June 2023- 14th July 2023,Marich,183.39,169,163.22
15th June 2023- 14th July 2023,Alale,183.89,169.5,163.71
15th June 2023- 14th July 2023,Kunyao,183.55,169.16,163.37
15th June 2023- 14th July 2023,Asilong,183.14,168.74,162.96
15th June 2023- 14th July 2023,Orolwo,183.18,168.78,163
15th June 2023- 14th July 2023,Sebit,183.12,168.73,162.95
15th June 2023- 14th July 2023,Morpus,183.03,168.64,162.85
15th June 2023- 14th July 2023,Chepkorniswo,182.92,168.52,162.74
15th June 2023- 14th July 2023,Kaibichbich,182.87,168.47,162.69
15th June 2023- 14th July 2023,Keringet,182.6,168.2,162.42
15th June 2023- 14th July 2023,Kisumu,181.87,167.49,161.7
15th June 2023- 14th July 2023,Sondu,181.98,167.58,161.81
15th June 2023- 14th July 2023,Oyugis,182.47,168.07,162.28
15th June 2023- 14th July 2023,Kakamega,181.93,167.53,161.75
15th June 2023- 14th July 2023,Mumias,182.2,167.81,162.02
15th June 2023- 14th July 2023,Bondo,182.09,167.69,161.91
15th June 2023- 14th July 2023,Siaya,182.21,167.82,162.03
15th June 2023- 14th July 2023,Kericho,182.38,167.99,162.21
15th June 2023- 14th July 2023,Nyamira,182.44,168.06,162.27
15th June 2023- 14th July 2023,Kisii,182.76,168.36,162.58
15th June 2023- 14th July 2023,Sotik,182.58,168.19,162.41
15th June 2023- 14th July 2023,Keroka,182.77,168.37,162.59
15th June 2023- 14th July 2023,Busia,182.75,168.35,162.57
15th June 2023- 14th July 2023,Homabay,182.69,168.3,162.52
15th June 2023- 14th July 2023,Migori,183.55,169.15,163.37
15th June 2023- 14th July 2023,Isebania,183.83,169.44,163.65
15th June 2023- 14th July 2023,Bomet,182.99,168.6,162.81
15th June 2023- 14th July 2023,Muhoroni,182.11,167.71,161.93
15th June 2023- 14th July 2023,Mbita,182.68,168.29,162.51
15th June 2023- 14th July 2023,Mbale,181.87,167.49,161.7
15th June 2023- 14th July 2023,Etago,183.33,168.93,163.16
15th June 2023- 14th July 2023,Magenche,183.43,169.04,163.25
15th June 2023- 14th July 2023,Kilgoris,183.26,168.87,163.09
15th June 2023- 14th July 2023,Malava,182.24,167.84,162.06
15th June 2023- 14th July 2023,Lugari,182.63,168.23,162.45
15th June 2023- 14th July 2023,Rodi Kopany,182.76,168.36,162.58
15th June 2023- 14th July 2023,Ndhiwa,183.03,168.63,162.85
15th June 2023- 14th July 2023,Rangwe,182.75,168.35,162.57
15th June 2023- 14th July 2023,Sindo,182.76,168.36,162.58
15th June 2023- 14th July 2023,Awasi,181.84,167.44,161.67
