Price Period,Town,Super,Diesel,Kerosene
15th April 2023 - 14th May2023,Kobujoi,179.97,163.19,147.14
15th April 2023 - 14th May2023,Serem,180.05,163.27,147.21
15th April 2023 - 14th May2023,Kabiyet,179.51,162.72,146.67
15th April 2023 - 14th May2023,Cheptulu,179.93,163.15,147.1
15th April 2023 - 14th May2023,Songor,180.47,163.69,147.65
15th April 2023 - 14th May2023,Kapcherop,180.11,163.33,147.28
15th April 2023 - 14th May2023,Sambalat,180.79,164.01,147.97
15th April 2023 - 14th May2023,Arror,180.45,163.67,147.61
15th April 2023 - 14th May2023,Tot,180.65,163.87,147.82
15th April 2023 - 14th May2023,Kaptarakwa,179.69,162.91,146.87
15th April 2023 - 14th May2023,Kapese,182.65,165.86,149.82
15th April 2023 - 14th May2023,Kalemngorok,182.03,165.25,149.21
15th April 2023 - 14th May2023,Marich,181.02,164.24,148.19
15th April 2023 - 14th May2023,Alale,181.5,164.72,148.68
15th April 2023 - 14th May2023,Kunyao,181.17,164.39,148.34
15th April 2023 - 14th May2023,Asilong,180.76,163.98,147.93
15th April 2023 - 14th May2023,Orolwo,180.79,164.01,147.97
15th April 2023 - 14th May2023,Sebit,180.74,163.96,147.92
15th April 2023 - 14th May2023,Morpus,180.65,163.87,147.82
15th April 2023 - 14th May2023,Chepkorniswo,180.53,163.75,147.71
15th April 2023 - 14th May2023,Kaibichbich,180.49,163.7,147.66
15th April 2023 - 14th May2023,Keringet,180.21,163.43,147.39
15th April 2023 - 14th May2023,Kisumu,179.5,162.7,146.66
15th April 2023 - 14th May2023,Sondu,179.59,162.8,146.77
15th April 2023 - 14th May2023,Oyugis,180.08,163.29,147.25
15th April 2023 - 14th May2023,Kakamega,179.54,162.75,146.72
15th April 2023 - 14th May2023,Mumias,179.82,163.03,146.99
15th April 2023 - 14th May2023,Bondo,179.7,162.91,146.88
15th April 2023 - 14th May2023,Siaya,179.83,163.04,147
15th April 2023 - 14th May2023,Kericho,180,163.21,147.17
15th April 2023 - 14th May2023,Nyamira,180.07,163.28,147.24
15th April 2023 - 14th May2023,Kisii,180.37,163.58,147.55
15th April 2023 - 14th May2023,Sotik,180.21,163.42,147.38
15th April 2023 - 14th May2023,Keroka,180.39,163.6,147.56
15th April 2023 - 14th May2023,Busia,180.36,163.57,147.54
15th April 2023 - 14th May2023,Homabay,180.31,163.52,147.48
15th April 2023 - 14th May2023,Migori,181.17,164.37,148.34
15th April 2023 - 14th May2023,Isebania,181.45,164.66,148.62
15th April 2023 - 14th May2023,Bomet,180.61,163.82,147.78
15th April 2023 - 14th May2023,Muhoroni,179.72,162.93,146.9
15th April 2023 - 14th May2023,Mbita,180.3,163.5,147.47
15th April 2023 - 14th May2023,Mbale,179.5,162.7,146.66
15th April 2023 - 14th May2023,Etago,180.94,164.15,148.12
15th April 2023 - 14th May2023,Magenche,181.05,164.26,148.22
15th April 2023 - 14th May2023,Kilgoris,180.88,164.09,148.06
15th April 2023 - 14th May2023,Malava,179.86,163.06,147.03
15th April 2023 - 14th May2023,Lugari,180.25,163.45,147.42
15th April 2023 - 14th May2023,Rodi Kopany,180.37,163.58,147.55
15th April 2023 - 14th May2023,Ndhiwa,180.65,163.86,147.82
15th April 2023 - 14th May2023,Rangwe,180.36,163.57,147.54
15th April 2023 - 14th May2023,Sindo,180.37,163.58,147.55
15th April 2023 - 14th May2023,Awasi,179.45,162.66,146.63
15th April 2023 - 14th May2023,Ahero,179.5,162.7,146.66
15th April 2023 - 14th May2023,Ugunja,179.93,163.13,147.1
15th April 2023 - 14th May2023,Asembo,179.57,162.78,146.75
15th April 2023 - 14th May2023,Usenge,180.06,163.26,147.22
15th April 2023 - 14th May2023,Harambee,179.54,162.75,146.71
15th April 2023 - 14th May2023,Muhuru Bay,181.31,164.52,148.48
15th April 2023 - 14th May2023,Kehancha,181.54,164.75,148.71
15th April 2023 - 14th May2023,Ntimaru,181.85,165.06,149.02
15th April 2023 - 14th May2023,Rongo,180.62,163.83,147.8
15th April 2023 - 14th May2023,Kaspokwony,180.59,163.8,147.75
15th April 2023 - 14th May2023,Chwele,180.53,163.74,147.7
15th April 2023 - 14th May2023,Kimilili,180.46,163.67,147.62
15th April 2023 - 14th May2023,Nambale,180.36,163.57,147.54
15th April 2023 - 14th May2023,SioPort,180.35,163.56,147.53
15th April 2023 - 14th May2023,Port Bunyala,180.4,163.61,147.57
15th April 2023 - 14th May2023,Funyula,180.22,163.43,147.4
15th April 2023 - 14th May2023,Ogembo,180.53,163.74,147.7
15th April 2023 - 14th May2023,Nyangusu,180.79,164,147.96
15th April 2023 - 14th May2023,Sengera,180.72,163.92,147.88
15th April 2023 - 14th May2023,Keumbu,180.44,163.64,147.61
15th April 2023 - 14th May2023,Marani,180.14,163.35,147.31
15th April 2023 - 14th May2023,Kerina,180.5,163.71,147.68
15th April 2023 - 14th May2023,Ikonge,179.86,163.07,147.03
15th April 2023 - 14th May2023,Nyansiongo,180.26,163.47,147.43
